ID,County Name (Licensee),County ID Code,License Count
0,ALBANY,5,77
1,ALLEGANY,59,4
2,BRONX,0,104
3,BROOME,35,14
4,CATTARAUGUS,41,9
5,CAYUGA,44,10
6,CHAUTAUQUA,45,10
7,CHEMUNG,37,7
8,CHENANGO,51,1
9,CLINTON,42,10
10,COLUMBIA,24,13
11,CORTLAND,34,6
12,DELAWARE,43,7
13,DUTCHESS,9,27
14,ERIE,21,69
15,ESSEX,4,11
16,FRANKLIN,60,1
17,FULTON,46,3
18,GENESEE,11,3
19,GREENE,47,12
20,HAMILTON,55,2
21,HERKIMER,57,4
22,JEFFERSON,27,9
23,KINGS,14,232
24,LEWIS,58,4
25,LIVINGSTON,40,3
26,MADISON,54,5
27,MONROE,16,52
28,MONTGOMERY,28,2
29,NASSAU,8,111
30,NEW YORK,2,293
31,NIAGARA,31,10
32,ONEIDA,48,20
33,ONONDAGA,13,45
34,ONTARIO,17,20
35,ORANGE,7,30
36,ORLEANS,39,6
37,OSWEGO,25,11
38,OTSEGO,3,7
39,PUTNAM,6,9
40,QUEENS,1,185
41,RENSSELAER,36,11
42,RICHMOND,29,32
43,ROCKLAND,12,25
44,SARATOGA,26,15
45,SCHENECTADY,19,8
46,SCHOHARIE,61,1
47,SCHUYLER,50,4
48,SENECA,53,4
49,ST LAWRENCE,33,7
50,STEUBEN,30,6
51,SUFFOLK,10,119
52,SULLIVAN,38,11
53,TIOGA,49,3
54,TOMPKINS,32,9
55,ULSTER,23,24
56,WARREN,18,12
57,WASHINGTON,15,5
58,WAYNE,52,9
59,WESTCHESTER,20,73
60,WYOMING,56,2
61,YATES,22,1
