License Serial Number,Premises Name,License Certificate Number,License Received Date,County ID Code
1311660,CANA ARRIBA GROCERY NO 2 INC,,2018-06-29T00:00:00,0
1310023,JOHANA GROCERY & DELI CORP,,2018-04-27T00:00:00,0
1310024,TKO BEVERAGES LLC,,2018-04-27T00:00:00,1
1310024,TKO BEVERAGES LLC,,2018-04-27T00:00:00,1
1311663,181 LEXINGTON AVENUE BBQ LLC,,2018-06-29T00:00:00,2
1310029,AZIZ DELI & GRILL CORP,849225,2018-04-27T00:00:00,1
2213240,COOPERSTOWN BERT CORP,,2018-06-29T00:00:00,3
2213242,DALE B HOLDERMAN,,2018-06-29T00:00:00,4
1300091,TWO THOUSAND FIFTEEN ARTISANAL LLC,,2018-05-17T00:00:00,2
1300091,TWO THOUSAND FIFTEEN ARTISANAL LLC,,2018-05-17T00:00:00,2
1310030,NEW FUZHOU STYLE INC,,2018-05-14T00:00:00,1
1310031,CAFE REGAL INC,,2018-04-27T00:00:00,1
2213243,SRINIDHI LLC,,2018-06-29T00:00:00,5
2209858,COLD SPRING GENERAL STORE LLC,,2018-05-21T00:00:00,6
2212037,JORGE'S KITCHEN LLC,,2018-04-27T00:00:00,7
1307023,JA EXPRESS FOOD CORP,882858,2018-05-02T00:00:00,8
1307023,JA EXPRESS FOOD CORP,882858,2018-05-02T00:00:00,8
1307145,TRINITA PARETE LLC,,2018-04-23T00:00:00,2
1310640,ST MARKS CAFE LLC,,2018-05-25T00:00:00,2
2210440,CANOE HILL VINEYARD LLC,898384,2018-05-02T00:00:00,9
1307243,CRESCENT ST PIZZERIA INC,,2018-05-18T00:00:00,1
1307463,LA REGIA DELI RESTAURANT CORP,863381,2018-04-25T00:00:00,10
3160168,KIBLERS HARVESTER LLC,826406,2018-05-16T00:00:00,11
1307740,THOMPSON PIZZA LLC,824396,2018-05-03T00:00:00,2
1307789,RUSCHMEYER'S WINE LLC,,2018-04-18T00:00:00,2
1307789,RUSCHMEYER'S WINE LLC,,2018-04-18T00:00:00,2
1307834,LIQUOR LABORATORY INC,,2018-05-16T00:00:00,2
1307984,THOMPSON PIZZA LLC,824392,2018-05-03T00:00:00,2
1308035,CABANA BREEZE INC,,2018-06-20T00:00:00,1
2211119,DUTAN & DUFFY RESTAURANT INC,,2018-05-16T00:00:00,12
2211161,3 CY BISTRO INC,,2018-05-21T00:00:00,7
1308090,THBW LLC,824391,2018-05-03T00:00:00,2
1308221,CAUDALIE MADISON LLC,,2018-05-22T00:00:00,2
1308225,DAWOUD DELI AND GROCERY CORP,883059,2018-04-25T00:00:00,0
1310032,HUA CHENG RESTAURANT INC,824423,2018-04-27T00:00:00,1
2211266,FEI DA REST INC,,2018-04-18T00:00:00,13
1308270,SAS DELI AND GROCERY INC,,2018-04-16T00:00:00,14
1308407,EZ DELI GROCERY CORP I,,2018-06-07T00:00:00,14
1308407,EZ DELI GROCERY CORP I,,2018-06-07T00:00:00,14
1308510,SUPER FRESH DELI & GROCERY CORP,882860,2018-05-03T00:00:00,14
2213245,TEN FOUR CAPICHE LLC,,2018-06-29T00:00:00,15
3160464,THIRSTY FROG INC,,2018-04-25T00:00:00,16
1310033,RESTAURANT SERVICES I LLC & LINCOLN CENTER FOR THE,863489,2018-04-27T00:00:00,2
1310037,ISLAND TIME HOSPITALITY GROUP LLC,,2018-04-27T00:00:00,10
1308786,GREEN VALLEY PRODUCE INC,,2018-04-30T00:00:00,1
2211443,QUICKY MART INC,,2018-07-12T00:00:00,5
1308827,GREENPOINT DELI INC,,2018-07-06T00:00:00,14
1308837,"PATIO RESTAURANT CORP, THE",824404,2018-06-05T00:00:00,14
1308863,KILL DEVIL LLC,887533,2018-06-05T00:00:00,14
1308926,AIR LIQUORS INC,,2018-05-15T00:00:00,1
1308939,A & Z WINE & LIQUOR INC,,2018-06-13T00:00:00,0
1308949,FOR FIVE MANHASSET INC,,2018-04-24T00:00:00,8
2211536,ALH FUSION FOOD CORP,,2018-05-17T00:00:00,12
2211536,ALH FUSION FOOD CORP,,2018-05-17T00:00:00,12
1309002,LA CABANA PERUANA OF ROCKAWAY BEACH CORP,,2018-07-06T00:00:00,1
3160563,LAND OF LEGENDS RACEWAY INC,849215,2018-04-25T00:00:00,17
1309143,HERO TELLER DELI & GROCERY CORP,,2018-06-21T00:00:00,0
1309199,FADDY MALONES BAR INC,,2018-04-20T00:00:00,8
3160606,EDMONDS MARKET INC,,2018-06-25T00:00:00,16
3160606,EDMONDS MARKET INC,,2018-06-25T00:00:00,16
2211681,STRUZZIERI FOOD INC,898331,2018-05-14T00:00:00,18
1309276,SNACKBOXLEXINGTON LLC,824373,2018-05-08T00:00:00,2
1309279,S & S AREITOS INC,887220,2018-04-26T00:00:00,0
2211706,FJM ROW LLC,,2018-05-14T00:00:00,13
1309333,CARNITAS DELI INC,,2018-05-16T00:00:00,8
1309357,SUTPHIN 121 DELI & GROCERY INC,,2018-06-18T00:00:00,1
1309379,CALACA OF BK INC,,2018-04-25T00:00:00,14
1309413,TRUMMER ART HOLDINGS LLC,,2018-07-03T00:00:00,2
3160647,CLUB 86 BAGELS AND CAKES INC,798209,2018-04-20T00:00:00,17
3160647,CLUB 86 BAGELS AND CAKES INC,798209,2018-04-20T00:00:00,17
1309448,SABOR RESTAURANT & BAKERY LLC,,2018-06-20T00:00:00,1
1309482,C P CHICKEN INC,824443,2018-06-27T00:00:00,1
